Layer 1,Layer 2,Layer 3,R2,MAE
3,17,9,0.7783,0.1186
3,17,10,0.65169,0.15099
3,18,0,0.45005,0.24455
3,18,1,0.75445,0.14254
3,18,2,0.65125,0.15618
3,18,3,0.7052,0.14132
3,18,4,0.76135,0.12427
3,18,5,0.67799,0.14462
3,18,6,0.68351,0.13901
3,18,7,0.7475,0.13254
3,18,8,0.67417,0.14167
3,18,9,0.68868,0.14205
3,18,10,0.75305,0.12147
3,19,0,0.74001,0.12892
3,19,1,-8E-05,0.53455
3,19,2,0.65344,0.16156
3,19,3,0.76064,0.1296
3,19,4,0.74124,0.13184
3,19,5,0.65323,0.17071
3,19,6,0.74498,0.12778
3,19,7,0.72925,0.12855
3,19,8,0.67354,0.14642
3,19,9,0.7323,0.13498
3,19,10,0.70306,0.17897
3,20,0,0.73459,0.12786
3,20,1,0.67626,0.14699
3,20,2,-9E-05,0.53449
3,20,3,0.70781,0.13723
3,20,4,0.70576,0.16112
3,20,5,0.72429,0.13945
3,20,6,0.757,0.1317
3,20,7,0.68342,0.13633
3,20,8,0.72496,0.14061
3,20,9,0.79292,0.13198
3,20,10,0.66463,0.17037
4,0,0,0.64897,0.15958
4,1,0,0.64876,0.16692
4,1,1,0.65335,0.16573
4,1,2,0.6683,0.16415
4,1,3,0.66262,0.14099
4,1,4,0.67294,0.14847
4,1,5,0.65459,0.15317
4,1,6,0.6963,0.15997
4,1,7,0.67299,0.16202
4,1,8,0.73783,0.12867
4,1,9,0.66408,0.18273
4,1,10,0.73325,0.12979
4,2,0,0.66357,0.16097
4,2,1,-4E-05,0.53481
4,2,2,0.0007,0.53429
4,2,3,0.0005,0.53441
4,2,4,0.72122,0.15396
4,2,5,0.73872,0.13345
4,2,6,0.71779,0.15225
4,2,7,0.64657,0.17919
4,2,8,0.71623,0.15197
4,2,9,0.71032,0.15651
4,2,10,0.43203,0.24457
4,3,0,0.65331,0.17317
4,3,1,-7E-05,0.53462
4,3,2,-7E-05,0.53459
4,3,3,0.40536,0.25752
4,3,4,0.63916,0.15225
4,3,5,0.65236,0.18182
4,3,6,0.68807,0.15019
4,3,7,0.65821,0.16212
4,3,8,0.77242,0.12723
4,3,9,0.67492,0.15414
4,3,10,0.65396,0.167
4,4,0,0.67592,0.16393
4,4,1,-8E-05,0.53454
4,4,2,-9E-05,0.53451
4,4,3,0.73752,0.13603
4,4,4,0.71023,0.14583
4,4,5,0.78286,0.12246
4,4,6,0.74815,0.12577
4,4,7,0.77172,0.12482
4,4,8,0.76827,0.13512
4,4,9,0.7909,0.10966
4,4,10,0.74221,0.14746
4,5,0,0.7757,0.12947
4,5,1,-9E-05,0.53453
4,5,2,0.77883,0.12058
4,5,3,0.73909,0.1541
4,5,4,0.71803,0.15081
4,5,5,0.69046,0.16863
4,5,6,0.75882,0.13635
4,5,7,0.77554,0.13298
4,5,8,0.77237,0.1299
4,5,9,0.6748,0.17691
4,5,10,0.76158,0.12801
4,6,0,0.73113,0.13681
4,6,1,0.72673,0.13772
4,6,2,0.67959,0.17238
4,6,3,0.67585,0.16782
4,6,4,0.71645,0.15004
4,6,5,0.75253,0.12612
4,6,6,0.697,0.16781
4,6,7,0.72324,0.13721
4,6,8,0.71176,0.14278
